user_chest,user_length,cloth_chest,cloth_length,fits
23.0,27.7332132251193,24.0,29.5,1
29.0,31.00646914692084,26.0,30.5,0
20.0,27.459957142039162,20.0,27.5,1
21.0,26.552588974232748,22.0,28.5,1
23.0,28.05944062929456,24.0,29.5,1
22.0,27.565988531867745,22.0,28.5,1
20.0,26.504748226695675,20.0,27.5,1
22.0,29.93741980594221,26.0,30.5,1
25.0,28.587704439861536,26.0,30.5,1
25.0,28.50796883234416,26.0,30.5,1
26.0,31.75082589303243,26.0,30.5,0
18.0,26.04870814083893,20.0,27.5,1
24.0,28.850797159463355,24.0,29.5,1
24.0,28.814363648535593,24.0,29.5,1
25.0,28.930595199250853,26.0,30.5,1
22.0,29.27462241291857,24.0,29.5,1
25.0,28.835114474249607,26.0,30.5,1
24.0,29.35803984748512,24.0,29.5,1
26.0,29.77269852224494,26.0,30.5,1
25.0,28.97920476428088,26.0,30.5,1
20.0,27.188970594281948,20.0,27.5,1
21.0,26.662985287626768,22.0,28.5,1
26.0,30.98867243434541,26.0,30.5,0
29.0,32.211846454287915,26.0,30.5,0
26.0,30.927691388867764,26.0,30.5,0
20.0,27.078193348118326,20.0,27.5,1
20.0,27.90961225147094,22.0,28.5,1
19.0,26.243890817573945,20.0,27.5,1
22.0,27.168579844659114,22.0,28.5,1
29.0,32.47975103564103,26.0,30.5,0
19.0,25.87426523279283,20.0,27.5,1
29.0,31.405746578793885,26.0,30.5,0
30.0,32.51456403176741,26.0,30.5,0
22.0,28.906472958581,24.0,29.5,1
18.0,26.27509763829515,20.0,27.5,1
27.0,29.994079887217964,26.0,30.5,0
23.0,28.362205767282298,24.0,29.5,1
23.0,28.078019053921917,24.0,29.5,1
19.0,25.64897863581485,20.0,27.5,1
26.0,31.813328120142856,26.0,30.5,0
25.0,29.74075210250517,26.0,30.5,1
18.0,26.137655970481944,20.0,27.5,1
20.0,27.083874397395554,20.0,27.5,1
21.0,27.450487662189516,22.0,28.5,1
22.0,28.185459241334314,22.0,28.5,1
26.0,30.388041093291918,26.0,30.5,1
22.0,27.841918363053246,22.0,28.5,1
22.0,27.527855815998446,22.0,28.5,1
20.0,27.12075087974285,20.0,27.5,1
23.0,28.830931654259,24.0,29.5,1
30.0,31.458570860731147,26.0,30.5,0
22.0,28.83455956348935,24.0,29.5,1
19.0,26.07896167990534,20.0,27.5,1
20.0,27.809689803446723,22.0,28.5,1
18.0,25.855537564955203,20.0,27.5,1
25.0,28.908511858380773,26.0,30.5,1
24.0,29.241468627440884,24.0,29.5,1
22.0,29.974856727811794,26.0,30.5,1
21.0,26.76608543644555,22.0,28.5,1
21.0,28.151297743917212,22.0,28.5,1
22.0,27.583958653369407,22.0,28.5,1
21.0,28.406239789280793,22.0,28.5,1
30.0,31.4119806479589,26.0,30.5,0
29.0,32.85125248589522,26.0,30.5,0
24.0,28.964315378085622,24.0,29.5,1
26.0,30.19739595588024,26.0,30.5,1
30.0,32.716309243434885,26.0,30.5,0
18.0,26.400803152406954,20.0,27.5,1
18.0,25.808372763142106,20.0,27.5,1
22.0,28.10719889306423,22.0,28.5,1
26.0,30.54367117990643,26.0,30.5,0
22.0,28.451457056563743,22.0,28.5,1
23.0,27.583680738590594,24.0,29.5,1
22.0,26.715150388746324,22.0,28.5,1
27.0,29.72270596475938,26.0,30.5,0
22.0,26.898582078891266,22.0,28.5,1
24.0,28.874532709984443,24.0,29.5,1
22.0,28.07502185404106,22.0,28.5,1
18.0,25.810404966598124,20.0,27.5,1
28.0,31.7955508378043,26.0,30.5,0
24.0,28.51963173589315,24.0,29.5,1
20.0,26.77929877162668,20.0,27.5,1
24.0,29.911449761317265,26.0,30.5,1
20.0,28.21055098083407,22.0,28.5,1
30.0,30.7178899729944,26.0,30.5,0
29.0,31.96111910972085,26.0,30.5,0
25.0,30.553949969429112,26.0,30.5,0
28.0,30.505649505818155,26.0,30.5,0
26.0,30.84354585956883,26.0,30.5,0
26.0,29.946491079762836,26.0,30.5,1
23.0,28.29148889946686,24.0,29.5,1
26.0,31.714316299161375,26.0,30.5,0
24.0,29.203276333335303,24.0,29.5,1
21.0,28.962081086846712,24.0,29.5,1
24.0,28.349818253345482,24.0,29.5,1
27.0,30.17784404865845,26.0,30.5,0
30.0,32.85895737440992,26.0,30.5,0
26.0,29.790127596978763,26.0,30.5,1
18.0,26.360913139625197,20.0,27.5,1
19.0,26.257143236298635,20.0,27.5,1
28.0,32.89214587325474,26.0,30.5,0
23.0,28.367389351309455,24.0,29.5,1
22.0,29.511463431556034,26.0,30.5,1
24.0,27.73959003166814,24.0,29.5,1
18.0,26.424042858889297,20.0,27.5,1
25.0,29.361011738000787,26.0,30.5,1
24.0,29.495253957606558,24.0,29.5,1
26.0,31.58327543509699,26.0,30.5,0
22.0,27.55941091884654,22.0,28.5,1
23.0,28.990906337191248,24.0,29.5,1
24.0,29.778715581840235,26.0,30.5,1
27.0,30.48625419761007,26.0,30.5,0
18.0,26.422755102590028,20.0,27.5,1
26.0,31.26235310385052,26.0,30.5,0
24.0,28.59405948257135,24.0,29.5,1
23.0,27.85691031464962,24.0,29.5,1
22.0,27.604252651473026,22.0,28.5,1
23.0,28.373272786935317,24.0,29.5,1
21.0,27.816581540529885,22.0,28.5,1
19.0,26.38588564107046,20.0,27.5,1
21.0,27.297756420958716,22.0,28.5,1
24.0,28.107260108104782,24.0,29.5,1
26.0,31.374638876959615,26.0,30.5,0
24.0,28.82065218114844,24.0,29.5,1
27.0,29.76132973300125,26.0,30.5,0
22.0,27.90708286991018,22.0,28.5,1
28.0,32.11209428533017,26.0,30.5,0
27.0,30.43177037501464,26.0,30.5,0
25.0,28.985695561665754,26.0,30.5,1
24.0,30.72396706144029,26.0,30.5,0
26.0,30.665523331759083,26.0,30.5,0
24.0,28.82151599895318,24.0,29.5,1
26.0,31.43323942120471,26.0,30.5,0
22.0,27.582481739031117,22.0,28.5,1
20.0,26.60674323623622,20.0,27.5,1
22.0,27.853433748483962,22.0,28.5,1
24.0,28.562398750330594,24.0,29.5,1
20.0,26.83080048743854,20.0,27.5,1
29.0,30.828175299842947,26.0,30.5,0
22.0,27.623002090035083,22.0,28.5,1
21.0,28.394742908251796,22.0,28.5,1
26.0,29.541216171067926,26.0,30.5,1
23.0,28.496237911932184,24.0,29.5,1
24.0,28.756839434959073,24.0,29.5,1
20.0,27.906382094753006,22.0,28.5,1
28.0,31.30329380109547,26.0,30.5,0
24.0,29.40975245536396,24.0,29.5,1
20.0,27.27428286317168,20.0,27.5,1
20.0,27.405782201696876,20.0,27.5,1
23.0,27.58079301741563,24.0,29.5,1
22.0,27.51835665738062,22.0,28.5,1
23.0,29.096116724993227,24.0,29.5,1
24.0,29.221737234934007,24.0,29.5,1
26.0,30.440452789408262,26.0,30.5,1
23.0,28.013162841048477,24.0,29.5,1
21.0,28.581679532861802,24.0,29.5,1
23.0,29.959070850105128,26.0,30.5,1
21.0,27.13677227561447,22.0,28.5,1
22.0,28.484344271082456,22.0,28.5,1
22.0,28.07049432572517,22.0,28.5,1
27.0,29.766533518459756,26.0,30.5,0
30.0,30.925232489629035,26.0,30.5,0
20.0,26.626994116636475,20.0,27.5,1
26.0,29.575991024642985,26.0,30.5,1
30.0,32.0388473135725,26.0,30.5,0
