user_chest,user_length,cloth_chest,cloth_length,fits
22.0,27.13644118282828,22.0,28.5,1
28.0,31.7968084818732,26.0,30.5,0
28.0,31.8097270929142,26.0,30.5,0
19.0,26.01043122412286,20.0,27.5,1
26.0,31.705866249388343,26.0,30.5,0
27.0,31.620810458454105,26.0,30.5,0
22.0,28.767534306853925,24.0,29.5,1
26.0,29.664182709993845,26.0,30.5,1
21.0,27.1758355863424,22.0,28.5,1
23.0,28.132705916440873,24.0,29.5,1
22.0,27.949961168911713,22.0,28.5,1
27.0,31.689863974449153,26.0,30.5,0
28.0,31.680368921118077,26.0,30.5,0
29.0,31.457722224178287,26.0,30.5,0
24.0,27.553764295088712,24.0,29.5,1
21.0,26.529367093094294,22.0,28.5,1
30.0,31.179912945914115,26.0,30.5,0
22.0,29.145721981437728,24.0,29.5,1
28.0,31.783476985609983,26.0,30.5,0
26.0,29.8509901066044,26.0,30.5,1
24.0,28.950219360556403,24.0,29.5,1
25.0,28.54209498369971,26.0,30.5,1
20.0,27.292716789258243,20.0,27.5,1
25.0,29.474659547921434,26.0,30.5,1
26.0,29.82551062660864,26.0,30.5,1
25.0,29.348741752298615,26.0,30.5,1
26.0,30.235214961763297,26.0,30.5,1
25.0,28.568946917938565,26.0,30.5,1
23.0,28.74053336754069,24.0,29.5,1
24.0,28.484180806678797,24.0,29.5,1
27.0,29.837206937460568,26.0,30.5,0
25.0,30.25504597355543,26.0,30.5,1
24.0,28.521689263583507,24.0,29.5,1
25.0,29.16752588864276,26.0,30.5,1
27.0,29.832493389458342,26.0,30.5,0
22.0,27.841591750184875,22.0,28.5,1
21.0,28.54855234378205,24.0,29.5,1
26.0,29.942677333924077,26.0,30.5,1
28.0,32.96022222471483,26.0,30.5,0
24.0,28.94088730640604,24.0,29.5,1
22.0,27.92057315077398,22.0,28.5,1
20.0,28.86314729606259,24.0,29.5,1
20.0,26.85653011865251,20.0,27.5,1
23.0,28.019854817963328,24.0,29.5,1
18.0,26.362599073602656,20.0,27.5,1
28.0,32.23662300557157,26.0,30.5,0
28.0,30.192983635642907,26.0,30.5,0
26.0,28.501934500768343,26.0,30.5,1
26.0,29.72910366406523,26.0,30.5,1
30.0,31.084708116645988,26.0,30.5,0
27.0,29.65297406744809,26.0,30.5,0
30.0,32.59570465240889,26.0,30.5,0
23.0,28.32679570711174,24.0,29.5,1
23.0,28.395476795874835,24.0,29.5,1
22.0,28.054752872425915,22.0,28.5,1
28.0,32.82507025080129,26.0,30.5,0
22.0,28.500651793343337,24.0,29.5,1
27.0,29.793286668619587,26.0,30.5,0
27.0,29.862198285853108,26.0,30.5,0
27.0,30.4837888692594,26.0,30.5,0
