clothing_id,clothing_type,size,material,season,color,waist,chest,hip,length,activity_type,compression_level,moisture_wicking,breathability,elasticity,uv_protection,reflective_elements,pockets,inseam_length,waistband_type,fit_style,brand_name
1,Jacket,M,Spandex,Winter,Red,38,39,30,33,Cycling,Medium,No,Medium,Low,No,No,3,9,Drawstring,Regular,Adidas
2,Shirt,L,Wool,Winter,Blue,32,34,0,29,Cycling,Medium,Yes,Low,High,Yes,No,1,1,Drawstring,Slim,Adidas
3,Shorts,XL,Spandex,Winter,Red,32,0,39,36,Yoga,High,No,Medium,High,No,No,3,2,Elastic,Slim,Nike
4,Shorts,XS,Spandex,Spring,Black,25,0,42,35,Running,Low,No,High,Low,Yes,Yes,0,5,Elastic,Slim,Nike
5,Jacket,XXL,Linen,Summer,Blue,36,33,35,24,Yoga,Medium,Yes,High,Low,No,Yes,1,7,Elastic,Slim,Adidas
6,Leggings,L,Cotton,Winter,Black,35,0,38,31,Cycling,High,Yes,Medium,Low,No,Yes,1,5,Drawstring,Slim,Nike
7,Shorts,L,Linen,Summer,White,38,0,45,35,Yoga,High,Yes,Low,Low,Yes,No,3,9,Drawstring,Slim,Adidas
8,Shorts,S,Cotton,Fall,Blue,33,0,34,33,Weightlifting,Low,Yes,Medium,High,Yes,No,2,2,Drawstring,Slim,Nike
9,Tank Top,L,Polyester,Spring,Red,32,30,0,21,Yoga,Medium,Yes,Medium,High,No,Yes,3,1,Drawstring,Slim,Nike
10,Jacket,L,Nylon,Spring,Blue,28,49,39,35,Running,Medium,No,Low,High,No,No,0,5,Drawstring,Regular,Adidas
11,Leggings,L,Linen,Fall,Red,24,0,37,24,Weightlifting,High,Yes,Medium,Medium,No,No,1,7,Elastic,Relaxed,Adidas
12,Shirt,XXL,Polyester,Summer,Green,27,34,0,20,Cycling,High,Yes,Low,Low,No,Yes,2,0,Elastic,Regular,Nike
13,Shorts,S,Wool,Summer,Green,32,0,33,20,Running,Medium,No,Low,High,Yes,Yes,1,9,Elastic,Relaxed,Adidas
14,Jacket,XS,Cotton,Winter,White,30,40,45,36,Running,High,No,Medium,Medium,No,Yes,1,1,Drawstring,Regular,Adidas
15,Jacket,XS,Polyester,Spring,White,25,44,49,20,Cycling,High,No,High,High,No,Yes,1,1,Drawstring,Slim,Adidas
16,Leggings,XL,Nylon,Fall,Blue,35,0,42,33,Weightlifting,Low,Yes,Low,Medium,No,Yes,3,1,Elastic,Regular,Nike
17,Jacket,XS,Silk,Winter,White,33,40,42,24,Yoga,Medium,No,High,Low,Yes,No,2,8,Elastic,Slim,Nike
18,Shorts,M,Silk,Winter,Black,37,0,37,27,Weightlifting,Medium,No,High,Medium,Yes,Yes,2,0,Drawstring,Slim,Adidas
19,Shorts,M,Linen,Winter,Red,25,0,36,27,Running,High,Yes,Low,Medium,Yes,Yes,0,6,Elastic,Regular,Nike
20,Shirt,M,Nylon,Winter,Blue,34,43,0,28,Cycling,Medium,Yes,Medium,High,Yes,No,3,2,Elastic,Regular,Adidas
21,Jacket,M,Cotton,Winter,Green,39,42,39,30,Running,High,No,Medium,Medium,No,No,3,0,Drawstring,Relaxed,Nike
22,Leggings,M,Nylon,Fall,Green,30,0,31,23,Cycling,Medium,Yes,Low,Low,No,No,1,1,Drawstring,Relaxed,Adidas
23,Leggings,XXL,Polyester,Fall,Blue,28,0,46,31,Running,High,Yes,High,Low,Yes,No,3,7,Elastic,Slim,Nike
24,Tank Top,L,Wool,Fall,Blue,36,37,0,34,Yoga,Low,No,Low,High,Yes,Yes,0,0,Drawstring,Regular,Nike
25,Shorts,XS,Wool,Summer,Green,25,0,39,35,Weightlifting,High,Yes,High,Medium,Yes,No,1,7,Elastic,Slim,Nike
26,Leggings,M,Nylon,Spring,Black,32,0,47,38,Running,Low,No,Low,Low,No,Yes,1,9,Drawstring,Regular,Nike
27,Shorts,M,Spandex,Winter,White,37,0,37,23,Cycling,Low,Yes,Low,High,Yes,No,0,5,Elastic,Regular,Adidas
28,Tank Top,XL,Wool,Winter,White,28,36,0,30,Weightlifting,Low,No,High,High,No,No,2,2,Elastic,Regular,Adidas
29,Shirt,S,Wool,Winter,White,32,39,0,26,Yoga,Low,Yes,Medium,High,No,No,1,4,Elastic,Relaxed,Nike
30,Jacket,L,Spandex,Spring,Red,28,48,41,33,Cycling,Low,No,High,Medium,Yes,No,2,6,Elastic,Regular,Adidas
31,Jacket,S,Nylon,Spring,Black,28,49,43,24,Running,Low,Yes,High,Low,Yes,Yes,1,2,Drawstring,Relaxed,Nike
32,Shorts,S,Spandex,Summer,Green,37,0,38,34,Running,Medium,No,Medium,Medium,No,No,2,6,Elastic,Regular,Nike
33,Leggings,M,Silk,Winter,Blue,38,0,34,38,Yoga,Low,Yes,Medium,Low,No,Yes,2,1,Drawstring,Relaxed,Nike
34,Tank Top,L,Polyester,Summer,Blue,32,48,0,35,Yoga,High,Yes,Low,Low,Yes,No,0,8,Elastic,Relaxed,Nike
35,Jacket,M,Spandex,Fall,White,39,34,42,32,Running,Low,Yes,High,Low,No,Yes,2,4,Elastic,Relaxed,Adidas
36,Jacket,S,Spandex,Winter,Black,24,35,33,37,Cycling,High,Yes,Low,Low,No,Yes,3,3,Elastic,Relaxed,Adidas
37,Shirt,S,Cotton,Fall,Black,25,46,0,25,Cycling,Medium,Yes,Medium,High,Yes,Yes,3,9,Drawstring,Regular,Adidas
38,Tank Top,XS,Cotton,Fall,Red,27,45,0,28,Running,High,Yes,Low,High,No,No,0,4,Drawstring,Relaxed,Nike
39,Tank Top,XXL,Silk,Fall,Blue,36,32,0,32,Running,High,Yes,High,Low,No,No,0,8,Drawstring,Regular,Adidas
40,Jacket,S,Spandex,Winter,Blue,26,48,31,38,Yoga,Low,Yes,Medium,Medium,No,Yes,3,9,Drawstring,Relaxed,Adidas
41,Jacket,XXL,Wool,Fall,Green,35,31,31,25,Weightlifting,Medium,No,High,Low,No,Yes,1,5,Elastic,Slim,Nike
42,Leggings,XXL,Cotton,Fall,Red,24,0,47,23,Weightlifting,High,No,Medium,Low,Yes,Yes,0,1,Drawstring,Slim,Adidas
43,Leggings,XS,Linen,Winter,White,37,0,43,27,Running,Medium,Yes,High,Medium,Yes,No,1,2,Drawstring,Regular,Adidas
44,Leggings,XL,Wool,Summer,White,35,0,32,32,Running,Medium,No,Medium,Low,Yes,Yes,0,4,Drawstring,Relaxed,Adidas
45,Tank Top,M,Silk,Summer,Blue,25,32,0,38,Yoga,Low,No,Medium,High,Yes,Yes,1,0,Drawstring,Slim,Nike
46,Tank Top,L,Wool,Fall,Blue,31,38,0,25,Cycling,Low,No,Low,Low,No,Yes,2,3,Drawstring,Relaxed,Nike
47,Leggings,XL,Linen,Winter,Black,38,0,35,31,Yoga,Low,No,Low,Medium,Yes,No,0,2,Drawstring,Relaxed,Nike
48,Shorts,S,Cotton,Spring,Blue,34,0,33,33,Yoga,High,Yes,High,Low,Yes,Yes,3,6,Drawstring,Slim,Nike
49,Leggings,M,Cotton,Fall,Black,33,0,32,26,Running,Medium,No,Low,High,No,No,3,2,Drawstring,Relaxed,Adidas
50,Leggings,XL,Spandex,Spring,White,25,0,42,29,Cycling,Medium,Yes,High,Medium,Yes,No,0,5,Elastic,Relaxed,Nike
51,Leggings,M,Polyester,Winter,Red,29,0,34,25,Yoga,High,No,Medium,High,Yes,No,1,2,Drawstring,Slim,Adidas
52,Leggings,XL,Polyester,Fall,Blue,34,0,49,32,Cycling,Low,No,High,High,Yes,No,1,1,Elastic,Relaxed,Nike
53,Shorts,XS,Polyester,Winter,Blue,26,0,47,37,Cycling,High,Yes,Medium,High,No,No,1,9,Drawstring,Relaxed,Adidas
54,Leggings,M,Cotton,Spring,White,30,0,33,36,Weightlifting,High,No,High,Low,Yes,Yes,2,0,Drawstring,Regular,Adidas
