user_id,gender,age,waist,chest,hip,shoulder,height
1,F,29,29,33,32,18,75
2,F,19,38,49,45,15,71
3,F,53,38,34,37,14,70
4,M,49,31,47,33,19,64
5,F,22,38,34,39,18,60
6,M,32,27,40,38,21,69
7,F,57,31,46,34,19,63
8,F,48,26,36,43,16,71
9,M,24,26,30,34,15,71
10,M,55,38,30,41,20,72
11,M,58,34,36,43,20,59
12,M,46,39,45,41,15,58
13,M,21,25,43,35,18,58
14,M,33,37,35,35,14,65
15,M,29,36,36,37,20,58
16,F,19,30,37,45,18,66
17,M,40,37,33,33,15,64
18,M,28,26,39,33,15,72
19,F,59,29,41,44,21,63
20,M,30,36,37,41,14,66
21,F,57,24,48,34,20,60
22,F,20,27,40,47,21,58
23,M,18,35,48,31,18,59
24,M,27,26,38,43,15,72
25,F,52,31,44,48,17,62
26,M,23,36,39,32,16,70
27,F,41,28,41,33,16,60
28,M,29,32,34,41,20,71
29,F,25,36,35,44,17,66
30,F,45,30,45,30,21,61
31,F,35,36,43,46,18,61
32,M,58,24,46,45,21,75
33,M,26,31,33,38,20,65
34,F,41,36,43,33,18,69
35,F,20,30,42,40,17,71
36,F,54,27,47,40,16,75
37,F,21,31,42,45,19,73
38,M,35,26,40,46,15,58
39,F,56,37,47,34,16,64
40,M,38,39,46,40,20,65
41,F,38,33,38,40,15,64
42,F,22,35,49,37,20,61
43,F,42,39,43,30,21,66
44,M,26,37,47,43,19,65
45,F,41,36,31,35,21,70
46,F,19,30,35,36,17,71
47,F,20,38,43,35,15,58
48,M,49,30,44,33,17,70
49,M,54,36,33,48,20,73
50,F,51,26,34,43,20,70
51,F,31,25,47,31,21,71
52,F,57,37,36,31,21,71
53,M,40,39,43,43,15,72
54,F,23,28,36,41,19,68
55,F,29,38,35,41,17,59
56,F,43,31,32,44,20,73
57,M,30,30,48,43,17,63
58,M,55,25,34,37,19,69
59,M,24,27,36,45,19,64
60,F,41,34,43,31,19,74
61,F,33,28,31,44,15,68
62,F,33,31,49,35,20,73
63,M,44,36,33,39,21,61
64,M,47,27,30,42,20,75
65,F,52,24,46,43,14,60
66,F,42,33,42,39,14,66
67,M,43,36,42,36,14,60
68,M,23,29,36,31,16,61
69,F,37,26,40,35,19,60
70,M,40,37,33,33,15,66
71,M,38,35,44,47,18,67
72,M,53,31,44,39,20,59
73,M,59,30,34,49,20,73
74,F,37,35,43,48,14,65
75,F,36,31,46,47,16,71
76,F,53,38,35,44,17,69
77,F,35,28,45,40,18,60
78,M,48,29,42,39,14,61
79,F,27,39,41,36,14,64
80,M,49,38,49,32,18,63
81,F,55,29,38,40,19,68
82,M,41,37,33,43,19,58
83,M,37,27,31,33,15,73
84,F,53,38,45,46,19,67
85,F,36,24,45,35,20,70
86,F,26,27,35,38,21,73
87,F,36,38,34,32,19,68
88,M,23,38,44,36,17,65
89,M,47,35,36,48,20,64
90,F,41,33,42,46,17,68
91,F,37,34,36,43,15,73
92,F,36,32,39,38,17,65
93,M,53,29,33,31,15,75
94,F,42,27,42,42,18,62
95,M,52,38,37,45,21,74
96,F,30,34,40,34,19,63
97,F,56,35,45,30,20,63
98,F,43,34,47,30,21,62
99,M,59,38,48,45,14,67
100,F,36,28,40,38,14,66
101,M,50,34,48,34,14,75
102,M,46,33,32,48,21,58
103,F,54,33,30,32,19,66
104,M,42,29,35,33,18,59
105,F,23,36,37,32,15,60
106,F,29,32,42,37,15,75
107,M,37,33,34,31,14,67
108,M,34,36,45,35,17,66
109,M,25,28,47,36,19,58
110,F,40,31,39,42,21,74
111,M,55,27,38,42,17,62
112,F,41,35,31,31,20,72
113,M,24,25,42,45,14,59
114,M,28,34,46,45,18,69
115,F,32,25,40,34,21,67
116,M,21,28,32,46,14,64
117,F,34,35,49,38,17,71
118,F,53,35,46,42,16,66
119,F,57,28,44,47,21,58
120,F,20,30,30,37,19,68
121,M,36,38,30,42,16,72
122,F,51,27,38,44,18,72
123,F,34,35,31,34,20,58
124,F,45,39,49,40,19,60
125,F,33,32,42,33,14,68
126,M,41,30,47,37,20,66
127,F,57,24,44,40,15,63
128,M,47,36,47,41,15,70
129,F,58,27,49,37,21,69
130,F,40,27,34,40,14,61
131,F,59,33,45,40,18,72
132,M,22,24,31,49,19,72
133,F,34,31,44,49,21,66
134,F,38,33,48,48,16,71
135,F,25,37,43,31,21,64
136,F,34,31,48,31,20,73
137,M,48,34,41,33,18,73
138,M,24,26,42,40,17,64
139,F,39,32,42,48,17,65
140,M,34,29,31,39,18,72
141,F,33,39,46,31,20,61
142,M,18,28,39,32,20,68
143,F,31,28,39,41,15,71
144,M,43,34,36,35,17,73
145,M,23,29,31,40,18,60
146,M,29,27,44,40,21,74
147,F,57,36,48,41,16,66
148,F,43,31,33,40,16,59
149,M,47,28,39,40,15,68
150,F,50,37,44,47,21,65
151,F,50,32,30,34,20,71
152,F,21,31,31,33,19,63
153,M,46,39,34,40,14,74
154,M,43,31,35,30,15,75
155,M,23,25,42,37,19,75
156,M,47,32,36,36,17,61
157,F,43,37,32,37,20,68
158,F,24,35,30,43,20,68
159,F,30,36,37,48,17,68
160,M,42,38,45,45,15,74
161,M,20,25,30,46,16,64
162,F,33,27,43,38,18,72
163,M,37,30,49,36,21,60
164,M,48,33,42,31,18,63
165,M,38,36,43,38,15,64
166,F,28,35,46,46,19,69
167,M,59,31,32,33,16,74
168,M,32,33,48,46,15,63
169,M,39,24,43,36,20,62
170,M,20,30,42,34,21,75
171,F,26,27,33,34,21,70
172,F,21,28,39,34,15,74
173,F,43,29,34,36,17,70
174,F,50,38,34,44,18,61
175,F,35,37,34,43,15,69
176,M,59,34,35,33,19,62
177,F,48,32,36,36,18,73
178,F,26,38,46,33,18,69
179,F,33,31,42,48,17,63
180,M,59,35,40,45,16,71
181,F,20,29,31,33,14,63
182,M,39,33,41,36,20,60
183,M,24,26,44,49,14,72
184,F,57,36,31,46,21,75
185,F,49,34,36,45,21,67
186,M,47,26,41,43,19,63
187,M,54,32,41,31,19,66
188,F,55,39,41,46,20,72
189,F,59,33,30,34,18,58
190,M,41,24,45,37,21,66
191,M,56,29,33,46,14,68
192,M,46,30,45,41,17,74
193,M,29,29,32,47,20,64
194,M,52,31,49,32,15,64
195,M,26,35,41,31,20,68
196,M,45,29,42,47,18,70
197,M,32,33,30,37,16,62
198,F,56,26,33,45,21,73
199,F,31,31,42,42,16,59
200,M,46,35,37,37,19,70
201,F,53,32,31,45,14,65
202,M,57,24,34,34,17,75
203,F,59,30,49,35,17,59
